Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
3/8/2020,46,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,40,,,46,
3/9/2020,60,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,31,,,60,
3/10/2020,31,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,.,,,31,
3/11/2020,59,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,14,,,59,
3/12/2020,61,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,35,,,61,
03/13/2020,39,Ozone,GRAFTON,55-089-0008,AirNow,,39,,,21,
03/14/2020,33,Ozone,BAYSIDE,55-079-0085,AirNow,,33,,,20,
03/15/2020,41,Ozone,GRAFTON,55-089-0008,AirNow,,41,,,19,
03/16/2020,57,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,29,,,57,
03/17/2020,41,Ozone,BAYSIDE,55-079-0085,AirNow,,41,,,39,
03/18/2020,53,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,40,,,53,
03/19/2020,52,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,23,,,52,
03/20/2020,37,Ozone,BAYSIDE,55-079-0085,AirNow,,37,,,15,
03/21/2020,38,Ozone,GRAFTON,55-089-0008,AirNow,,38,,,19,
03/22/2020,44,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,38,,,44,
03/23/2020,59,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,33,,,59,
03/24/2020,62,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,33,,,59,
03/25/2020,65,PM2.5,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,36,,,65,
03/26/2020,45,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,29,,,45,
03/27/2020,52,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,31,,,52,
03/28/2020,35,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,34,,,35,
03/29/2020,35,Ozone,GRAFTON,55-089-0008,AirNow,,35,,,10,
03/30/2020,38,Ozone,BAYSIDE,55-079-0085,AirNow,,38,,,15,
03/31/2020,30,Ozone,BAYSIDE,55-079-0085,AirNow,,30,,,22,
4/1/2020,30,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,29,,,30,
4/2/2020,40,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,34,,,40,
4/3/2020,46,Ozone,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,46,,,36,
4/4/2020,33,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,28,,,33,
4/5/2020,42,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,41,,,42,
4/6/2020,56,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,41,,,56,
4/7/2020,63,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,37,,,63,
4/8/2020,59,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,38,,,59,
4/9/2020,38,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,38,,,19,
4/10/2020,36,Ozone,HARRINGTON BEACH PARK,55-089-0009,AirNow,,36,,,26,
4/11/2020,64,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,47,,,64,
4/12/2020,52,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,41,,,52,
04/13/2020,39,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,39,,,15,
1/1/2019,31,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,3,31,0,25,29,18
1/2/2019,40,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,3,19,0,15,40,23
1/3/2019,45,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,3,19,0,20,45,17
1/4/2019,46,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,8,17,1,23,46,29
1/5/2019,45,PM2.5,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,7,24,0,19,45,26
1/6/2019,32,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,3,32,0,9,25,26
1/7/2019,45,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,.,26,0,14,45,21
1/8/2019,48,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,3,25,0,15,48,11
1/9/2019,28,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,3,25,0,12,28,14
1/10/2019,36,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,5,25,0,14,36,36
1/11/2019,63,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,6,16,0,24,63,31
1/12/2019,65,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,5,31,0,23,65,26
01/13/2019,35,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,3,35,0,8,27,35
01/14/2019,58,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,3,24,0,19,58,22
01/15/2019,56,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,19,0,18,56,18
01/16/2019,33,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,3,33,0,13,27,25
01/17/2019,48,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,5,27,0,17,48,30
01/18/2019,40,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,34,0,16,40,27
01/19/2019,32,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,3,32,0,8,15,14
01/20/2019,49,PM10,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,3,31,0,49,32,16
01/21/2019,41,NO2,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,6,35,0,23,27,41
01/22/2019,52,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,6,28,0,22,52,37
01/23/2019,56,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,6,27,0,17,56,23
01/24/2019,64,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,30,0,25,64,33
01/25/2019,51,PM10,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,5,29,0,51,48,28
01/26/2019,58,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,5,29,0,52,58,37
01/27/2019,71,PM10,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,5,31,0,71,64,33
01/28/2019,32,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,5,32,0,10,32,21
01/29/2019,31,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,2,31,0,21,25,16
01/30/2019,37,PM10,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,2,25,0,37,34,9
01/31/2019,48,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,5,24,0,47,48,26
2/1/2019,54,PM2.5,MILWAUKEE - COLLEGE AVE. PARK & RIDE,55-079-0058,AQS,7,22,0,20,54,50
2/2/2019,86,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,6,22,0,32,86,26
2/3/2019,64,PM2.5,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,5,18,0,22,64,18
2/4/2019,56,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,3,21,0,18,56,24
2/5/2019,30,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,3,30,0,11,30,25
2/6/2019,31,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,27,0,9,31,26
2/7/2019,31,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,3,31,0,9,25,19
2/8/2019,31,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,3,31,0,19,23,13
2/9/2019,32,PM2.5,MILWAUKEE - COLLEGE AVE. PARK & RIDE,55-079-0058,AQS,3,28,0,15,32,29
2/10/2019,60,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,3,28,0,19,60,25
2/11/2019,64,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,3,28,0,18,64,11
2/12/2019,34,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,5,33,0,11,34,25
02/13/2019,42,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,3,33,0,22,42,25
02/14/2019,61,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,33,0,25,61,33
02/15/2019,43,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,5,31,0,27,43,26
02/16/2019,37,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,5,37,0,15,27,31
02/17/2019,38,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,2,38,0,10,31,12
02/18/2019,42,NO2,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,5,34,0,25,35,42
02/19/2019,57,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,6,35,1,34,57,48
02/20/2019,58,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,3,41,0,15,58,23
02/21/2019,80,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,43,0,33,80,43
02/22/2019,90,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,7,45,0,35,90,53
02/23/2019,73,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,3,40,0,22,73,12
02/24/2019,44,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,3,44,0,10,31,13
02/25/2019,31,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,3,31,0,14,23,22
02/26/2019,34,NO2,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,5,33,0,19,28,34
02/27/2019,48,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,5,33,0,22,48,30
02/28/2019,53,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,5,30,0,33,53,39
3/1/2019,55,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,40,0,22,55,42
3/2/2019,59,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,3,43,0,30,59,29
3/3/2019,32,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,3,32,0,14,28,10
3/4/2019,55,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,3,37,0,18,55,20
3/5/2019,51,PM10,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,3,38,0,51,41,22
3/6/2019,44,PM2.5,MILWAUKEE - COLLEGE AVE. PARK & RIDE,55-079-0058,AQS,3,43,0,30,44,32
3/7/2019,54,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,6,37,1,26,54,52
3/8/2019,76,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,10,42,4,31,76,58
3/9/2019,78,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,41,0,27,78,30
3/10/2019,52,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,3,45,0,14,52,25
3/11/2019,45,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,3,45,0,16,43,25
3/12/2019,64,PM2.5,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,5,35,1,29,64,55
03/13/2019,54,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,3,35,0,16,54,25
03/14/2019,34,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,3,33,0,17,34,17
03/15/2019,36,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,3,36,0,7,20,17
03/16/2019,39,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,3,39,0,12,21,18
03/17/2019,43,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,3,43,0,18,43,29
03/18/2019,62,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,42,0,23,62,42
03/19/2019,48,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,42,0,19,48,36
03/20/2019,69,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,5,33,0,29,69,29
03/21/2019,53,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,5,41,0,18,53,31
03/22/2019,43,Ozone,HARRINGTON BEACH PARK,55-089-0009,AQS,5,43,0,11,27,37
03/23/2019,48,PM2.5,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,6,44,1,19,48,36
03/24/2019,52,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,6,41,0,17,52,32
03/25/2019,41,NO2,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,5,40,0,11,16,41
03/26/2019,47,NO2,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,7,44,1,13,28,47
03/27/2019,45,Ozone,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,5,45,3,19,41,33
03/28/2019,51,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,39,0,18,51,21
03/29/2019,39,Ozone,GRAFTON,55-089-0008,AQS,5,39,0,14,37,33
03/30/2019,41,Ozone,BAYSIDE,55-079-0085,AQS,3,41,0,10,31,18
03/31/2019,42,Ozone,GRAFTON,55-089-0008,AQS,3,42,0,6,18,24
4/1/2019,42,Ozone,GRAFTON,55-089-0008,AQS,5,42,1,18,38,36
4/2/2019,42,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,38,0,17,42,24
4/3/2019,44,Ozone,GRAFTON,55-089-0008,AQS,3,44,0,15,28,34
4/4/2019,43,Ozone,GRAFTON,55-089-0008,AQS,3,43,0,16,37,21
4/5/2019,63,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,38,0,24,63,24
4/6/2019,76,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,43,0,30,76,25
4/7/2019,69,PM2.5,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,5,40,0,24,69,32
4/8/2019,48,Ozone,GRAFTON,55-089-0008,AQS,3,48,0,14,33,22
4/9/2019,44,Ozone,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,3,44,0,8,14,30
4/10/2019,38,Ozone,GRAFTON,55-089-0008,AQS,3,38,0,5,13,4
4/11/2019,41,Ozone,GRAFTON,55-089-0008,AQS,2,41,0,9,27,12
4/12/2019,35,Ozone,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,3,35,0,16,27,19
04/13/2019,41,Ozone,GRAFTON,55-089-0008,AQS,3,41,0,11,23,10
04/14/2019,44,Ozone,GRAFTON,55-089-0008,AQS,3,44,0,6,16,11
04/15/2019,49,Ozone,GRAFTON,55-089-0008,AQS,3,49,0,17,30,30
04/16/2019,49,PM2.5,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,3,38,0,18,49,29
04/17/2019,69,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,3,37,0,30,69,21
04/18/2019,36,Ozone,GRAFTON,55-089-0008,AQS,3,36,0,11,28,20
04/19/2019,44,Ozone,BAYSIDE,55-079-0085,AQS,3,44,0,10,13,17
04/20/2019,44,Ozone,GRAFTON,55-089-0008,AQS,5,44,1,8,26,39
04/21/2019,71,Ozone,GRAFTON,55-089-0008,AQS,5,71,1,22,49,38
04/22/2019,61,Ozone,GRAFTON,55-089-0008,AQS,3,61,0,22,38,25
04/23/2019,43,Ozone,GRAFTON,55-089-0008,AQS,3,43,0,8,19,23
04/24/2019,45,Ozone,GRAFTON,55-089-0008,AQS,3,45,0,16,35,34
04/25/2019,54,PM2.5,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,5,49,1,23,54,33
04/26/2019,44,Ozone,GRAFTON,55-089-0008,AQS,3,44,0,15,25,17
04/27/2019,44,Ozone,BAYSIDE,55-079-0085,AQS,3,44,0,7,19,11
04/28/2019,44,Ozone,GRAFTON,55-089-0008,AQS,3,44,0,9,23,18
04/29/2019,45,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,5,39,0,15,45,24
04/30/2019,39,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AQS,5,35,0,12,39,18
5/1/2019,36,Ozone,BAYSIDE,55-079-0085,AQS,5,36,0,9,30,30
5/2/2019,45,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,33,0,13,45,25
5/3/2019,35,Ozone,GRAFTON,55-089-0008,AQS,5,35,0,12,33,29
5/4/2019,44,Ozone,GRAFTON,55-089-0008,AQS,5,44,7,14,41,25
5/5/2019,61,Ozone,GRAFTON,55-089-0008,AQS,5,61,3,15,43,11
5/6/2019,41,Ozone,GRAFTON,55-089-0008,AQS,5,41,0,9,24,23
5/7/2019,37,Ozone,GRAFTON,55-089-0008,AQS,5,37,0,8,14,19
5/8/2019,40,Ozone,GRAFTON,55-089-0008,AQS,3,40,0,13,27,10
5/9/2019,36,Ozone,GRAFTON,55-089-0008,AQS,5,36,0,12,29,25
5/10/2019,36,Ozone,GRAFTON,55-089-0008,AQS,3,36,0,6,15,24
5/11/2019,41,Ozone,GRAFTON,55-089-0008,AQS,3,41,0,8,25,30
5/12/2019,42,Ozone,BAYSIDE,55-079-0085,AQS,3,42,0,8,25,15
05/13/2019,43,Ozone,GRAFTON,55-089-0008,AQS,3,43,0,12,28,30
05/14/2019,49,Ozone,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,5,49,0,19,35,26
05/15/2019,77,Ozone,BAYSIDE,55-079-0085,AQS,3,77,0,27,55,25
05/16/2019,52,PM2.5,MILWAUKEE - SER DNR HDQRS,55-079-0026,AQS,6,48,1,21,52,29
05/17/2019,31,Ozone,GRAFTON,55-089-0008,AQS,5,31,0,6,13,16
05/18/2019,38,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,3,30,0,14,38,16
05/19/2019,45,Ozone,WAUKESHA - CLEVELAND AVE,55-133-0027,AQS,2,45,0,10,23,7
05/20/2019,31,Ozone,GRAFTON,55-089-0008,AQS,3,31,0,6,11,27
05/21/2019,33,Ozone,GRAFTON,55-089-0008,AQS,3,33,0,16,21,26
05/22/2019,58,Ozone,BAYSIDE,55-079-0085,AQS,3,58,0,21,32,17
05/23/2019,41,Ozone,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AQS,5,41,1,22,29,10
